label,x,y,weight,n_points,u_proj_m,row_id,residual_m,residual_abs_m,accepted,delta_m
59,770110.0162944164,6270724.031269033,197.0,62,-5749536.406647525,-2280988,-0.18185826018452644,0.18185826018452644,True,0.983047482519124
60,770192.0425000001,6270723.405,8.0,4,-5749578.718259134,-2281005,0.3573178304359317,0.3573178304359317,True,0.983047482519124
61,770177.9740404042,6270735.123434344,1485.0,495,-5749581.362463896,-2281006,0.23374763876199722,0.23374763876199722,True,0.983047482519124
62,770175.222079208,6270727.90079208,303.0,102,-5749573.765989683,-2281003,0.2683181408792734,0.2683181408792734,True,0.983047482519124
63,770188.5348780488,6270725.521463415,41.0,15,-5749578.690870175,-2281005,0.38470678962767124,0.38470678962767124,True,0.983047482519124
64,770182.1310204082,6270726.749387756,98.0,39,-5749576.392968579,-2281004,0.1619738144800067,0.1619738144800067,True,0.983047482519124
65,770179.7631010453,6270736.945679443,1722.0,535,-5749583.850858925,-2281007,0.26598718017339706,0.26598718017339706,True,0.983047482519124
66,770155.8124988301,6270745.671717362,2137.0,670,-5749578.781488789,-2281005,0.29408817552030087,0.29408817552030087,True,0.983047482519124
67,770197.8403896104,6270728.852727273,77.0,27,-5749586.392211687,-2281008,0.24526898935437202,0.24526898935437202,True,0.983047482519124
68,770153.3877380954,6270744.290119047,2016.0,621,-5749576.33679718,-2281004,0.2181452140212059,0.2181452140212059,True,0.983047482519124
69,770200.7936363637,6270729.936818182,44.0,17,-5749588.859257763,-2281009,0.2988574830815196,0.2988574830815196,True,0.983047482519124
70,770195.5511267607,6270730.519436619,71.0,26,-5749586.61769991,-2281008,0.01978076621890068,0.01978076621890068,True,0.983047482519124
71,770199.655,6270730.905,4.0,3,-5749589.090105393,-2281009,0.06800985336303711,0.06800985336303711,True,0.983047482519124
72,770112.3160000001,6270731.387999999,50.0,17,-5749543.881232421,-2280991,-0.09453944489359856,0.09453944489359856,True,0.983047482519124
73,770147.95464539,6270744.60251773,1692.0,512,-5749573.765263655,-2281003,0.2690441682934761,0.2690441682934761,True,0.983047482519124
74,770181.1671007372,6270739.101130221,1221.0,375,-5749586.422257516,-2281008,0.21522316057235003,0.21522316057235003,True,0.983047482519124
75,770201.5934615385,6270732.376153845,104.0,44,-5749591.357150256,-2281010,0.3215995617210865,0.3215995617210865,True,0.983047482519124
76,770198.455,6270731.505,4.0,3,-5749588.974938137,-2281009,0.18317710887640715,0.18317710887640715,True,0.983047482519124
77,770195.873902439,6270732.992195121,41.0,17,-5749588.894910749,-2281009,0.26320449728518724,0.26320449728518724,True,0.983047482519124
78,770170.287573853,6270748.667932118,1591.0,498,-5749588.897396842,-2281009,0.26071840431541204,0.26071840431541204,True,0.983047482519124
79,770194.4482481754,6270736.868321168,137.0,66,-5749591.455547828,-2281010,0.2232019891962409,0.2232019891962409,True,0.983047482519124
80,770199.9623529414,6270736.353529411,102.0,40,-5749593.896809281,-2281011,0.3025751067325473,0.3025751067325473,True,0.983047482519124
81,770172.5196813355,6270756.064825494,2636.0,832,-5749596.370920435,-2281012,0.34909852407872677,0.34909852407872677,True,0.983047482519124
82,770174.1586235187,6270758.060264358,2194.0,747,-5749598.928591106,-2281013,0.3120624227449298,0.3120624227449298,True,0.983047482519124
83,770195.9500000001,6270738.959999999,10.0,7,-5749594.023625692,-2281011,0.17575869522988796,0.17575869522988796,True,0.983047482519124
84,770136.0358295965,6270746.080896861,892.0,272,-5749568.800245022,-2281001,0.19279365986585617,0.19279365986585617,True,0.983047482519124
85,770138.6945776567,6270747.328501362,1101.0,334,-5749571.252896379,-2281002,0.260776873677969,0.260776873677969,True,0.983047482519124
86,770188.7527272728,6270740.443636363,44.0,16,-5749591.529345848,-2281010,0.1494039697572589,0.1494039697572589,True,0.983047482519124
87,770200.1397807759,6270744.939865093,593.0,204,-5749601.311370425,-2281014,0.44991767406463623,0.44991767406463623,True,0.983047482519124
88,770193.5915384616,6270740.164615384,13.0,7,-5749593.818924134,-2281011,0.3804602539166808,0.3804602539166808,True,0.983047482519124
89,770183.0510909094,6270743.849454547,275.0,86,-5749591.455413194,-2281010,0.22333662305027246,0.22333662305027246,True,0.983047482519124
90,770171.7100791556,6270753.710936675,1516.0,459,-5749593.940784669,-2281011,0.2585997190326452,0.2585997190326452,True,0.983047482519124
91,770207.4077173914,6270743.443043477,184.0,61,-5749603.831317371,-2281015,0.4506052993237972,0.4506052993237972,True,0.983047482519124
92,770120.2476470589,6270744.056470587,34.0,14,-5749558.82712669,-2280997,0.08337370958179235,0.08337370958179235,True,0.983047482519124
93,770189.1209531503,6270757.667399031,1857.0,579,-5749606.409019374,-2281016,0.3935378659516573,0.3935378659516573,True,0.983047482519124
94,770146.3821226417,6270754.52504717,1272.0,393,-5749581.405175195,-2281006,0.19103633984923363,0.19103633984923363,True,0.983047482519124
95,770196.8270786518,6270750.055280898,445.0,145,-5749603.943112769,-2281015,0.3388099009171128,0.3388099009171128,True,0.983047482519124
96,770123.8754545456,6270747.814545455,165.0,51,-5749563.926727706,-2280999,0.025041835382580757,0.025041835382580757,True,0.983047482519124
97,770163.8576041667,6270755.606822917,1152.0,347,-5749591.455806377,-2281010,0.22294344007968903,0.22294344007968903,True,0.983047482519124
98,770188.6844408946,6270760.831629393,1565.0,522,-5749608.879266369,-2281017,0.44392544217407703,0.44392544217407703,True,0.983047482519124
99,770165.4163636365,6270748.736818182,132.0,42,-5749586.411705466,-2281008,0.2257752101868391,0.2257752101868391,True,0.983047482519124
100,770150.2281347151,6270755.035025907,965.0,304,-5749583.848982742,-2281007,0.26786336302757263,0.26786336302757263,True,0.983047482519124
101,770188.1800777606,6270764.069580094,1929.0,608,-5749611.376936102,-2281018,0.46689027920365334,0.46689027920365334,True,0.983047482519124
102,770161.6498529413,6270751.110882352,136.0,45,-5749586.4687538985,-2281008,0.16872677765786648,0.16872677765786648,True,0.983047482519124
103,770212.2295475116,6270752.157828054,221.0,67,-5749613.781373556,-2281019,0.5830873968079686,0.5830873968079686,True,0.983047482519124
104,770187.5422994654,6270752.6554010715,187.0,60,-5749601.3105093,-2281014,0.45077879913151264,0.45077879913151264,True,0.983047482519124
105,770157.4781481482,6270753.587407407,81.0,32,-5749586.401524976,-2281008,0.23595570027828217,0.23595570027828217,True,0.983047482519124
106,770184.9901398603,6270771.909545455,2288.0,798,-5749616.396126557,-2281020,0.48896896559745073,0.48896896559745073,True,0.983047482519124
107,770203.3601401872,6270757.682102805,428.0,126,-5749613.859269699,-2281019,0.5051912534981966,0.5051912534981966,True,0.983047482519124
108,770171.9413452189,6270765.24636953,1234.0,409,-5749603.898271035,-2281015,0.3836516346782446,0.3836516346782446,True,0.983047482519124
109,770200.4884143606,6270765.37857891,1337.0,441,-5749618.922316832,-2281021,0.48341326136142015,0.48341326136142015,True,0.983047482519124
110,770144.3330176899,6270761.653985432,961.0,303,-5749586.413950647,-2281008,0.2235300289466977,0.2235300289466977,True,0.983047482519124
111,770181.140909091,6270756.5618181825,165.0,51,-5749601.297945465,-2281014,0.46334263402968645,0.46334263402968645,True,0.983047482519124
112,770191.0083941605,6270774.119854015,2055.0,723,-5749621.424518978,-2281022,0.5018456857651472,0.5018456857651472,True,0.983047482519124
113,770171.9982008369,6270762.107824268,478.0,143,-5749601.25161642,-2281014,0.5096716787666082,0.5096716787666082,True,0.983047482519124
114,770212.753214286,6270763.6975324685,616.0,182,-5749623.895235332,-2281023,0.5517639024183154,0.5517639024183154,True,0.983047482519124
115,770190.2975700506,6270780.280321544,2177.0,809,-5749626.306482938,-2281024,0.6611508671194315,0.6611508671194315,True,0.983047482519124
116,770144.6522222223,6270764.314074074,405.0,121,-5749588.849039409,-2281009,0.30907583702355623,0.30907583702355623,True,0.983047482519124
117,770136.310392157,6270763.591764706,153.0,52,-5749583.875819466,-2281007,0.24102663900703192,0.24102663900703192,True,0.983047482519124
118,770192.5236170213,6270764.356595744,47.0,16,-5749613.890493722,-2281019,0.47396723087877035,0.47396723087877035,True,0.983047482519124
119,770190.94057047,6270782.935872483,1788.0,705,-5749628.906834118,-2281025,0.5814342573285103,0.5814342573285103,True,0.983047482519124
120,770142.4490751445,6270768.647341041,346.0,114,-5749591.393380904,-2281010,0.28536891378462315,0.28536891378462315,True,0.983047482519124
121,770188.6134254145,6270766.804309393,181.0,60,-5749613.935295328,-2281019,0.42916562501341105,0.42916562501341105,True,0.983047482519124
122,770220.7061061949,6270767.672920355,226.0,74,-5749631.439316256,-2281026,0.5695866905152798,0.5695866905152798,True,0.983047482519124
123,770145.5757943925,6270769.635140187,535.0,167,-5749593.868927267,-2281011,0.33045712020248175,0.33045712020248175,True,0.983047482519124
124,770153.7001803052,6270773.230069349,721.0,255,-5749601.178155443,-2281014,0.5831326562911272,0.5831326562911272,True,0.983047482519124
125,770221.8247761194,6270769.975522389,268.0,87,-5749633.98715667,-2281027,0.5423808470368385,0.5423808470368385,True,0.983047482519124
126,770136.9221568628,6270769.062352941,153.0,49,-5749588.860340483,-2281009,0.29777476377785206,0.29777476377785206,True,0.983047482519124
127,770193.992012987,6270775.226103895,616.0,249,-5749623.926325402,-2281023,0.5206738319247961,0.5206738319247961,True,0.983047482519124
128,770181.9144594596,6270770.825270271,148.0,54,-5749613.864971223,-2281019,0.49948972929269075,0.49948972929269075,True,0.983047482519124
129,770156.9437628111,6270777.331537335,683.0,280,-5749606.369883885,-2281016,0.43267335556447506,0.43267335556447506,True,0.983047482519124
130,770213.2407142858,6270772.219285716,28.0,11,-5749631.4166880855,-2281026,0.5922148609533906,0.5922148609533906,True,0.983047482519124
131,770213.8330150754,6270774.972964823,199.0,82,-5749634.074234255,-2281027,0.45530326198786497,0.45530326198786497,True,0.983047482519124
132,770174.037949791,6270775.648619247,239.0,97,-5749613.863793457,-2281019,0.5006674956530333,0.5006674956530333,True,0.983047482519124
133,770184.5828735634,6270789.704137932,1566.0,623,-5749631.357496199,-2281026,0.6514067472890019,0.6514067472890019,True,0.983047482519124
134,770156.5746236559,6270780.437526883,558.0,233,-5749608.825658537,-2281017,0.49753327388316393,0.49753327388316393,True,0.983047482519124
135,770147.8927177701,6270779.912404181,287.0,111,-5749603.842951335,-2281015,0.43897133506834507,0.43897133506834507,True,0.983047482519124
136,770189.0344286981,6270790.009583703,1129.0,460,-5749633.9431909835,-2281027,0.5863465331494808,0.5863465331494808,True,0.983047482519124
137,770165.0325806453,6270781.205806451,155.0,66,-5749613.898736816,-2281019,0.4657241366803646,0.4657241366803646,True,0.983047482519124
138,770175.0989655174,6270780.924827586,29.0,11,-5749618.917221856,-2281021,0.48850823659449816,0.48850823659449816,True,0.983047482519124
139,770156.7290243903,6270783.313170733,205.0,88,-5749611.358475342,-2281018,0.48535103909671307,0.48535103909671307,True,0.983047482519124
140,770171.3687755103,6270789.028979592,588.0,247,-5749623.8794981,-2281023,0.5675011342391372,0.5675011342391372,True,0.983047482519124
141,770183.9847511314,6270795.878416289,1326.0,542,-5749636.310105872,-2281028,0.7400662153959274,0.7400662153959274,True,0.983047482519124
142,770170.6472413794,6270783.548965517,87.0,40,-5749618.829602249,-2281021,0.5761278439313173,0.5761278439313173,True,0.983047482519124
143,770160.4619148935,6270784.060851065,47.0,20,-5749613.9458917165,-2281019,0.4185692360624671,0.4185692360624671,True,0.983047482519124
144,770167.43,6270785.53,24.0,10,-5749618.838405765,-2281021,0.5673243282362819,0.5673243282362819,True,0.983047482519124
145,770149.693559322,6270787.560508474,118.0,52,-5749611.305423791,-2281018,0.5384025909006596,0.5384025909006596,True,0.983047482519124
146,770156.1665384615,6270786.664615383,52.0,21,-5749613.922565606,-2281019,0.4418953461572528,0.4418953461572528,True,0.983047482519124
147,770164.9829411765,6270787.053529412,34.0,16,-5749618.859375892,-2281021,0.5463542006909847,0.5463542006909847,True,0.983047482519124
148,770157.4797630332,6270791.625497631,211.0,98,-5749618.838842916,-2281021,0.5668871765956283,0.5668871765956283,True,0.983047482519124
149,770151.7773684211,6270789.274736841,38.0,14,-5749613.8556682095,-2281019,0.5087927430868149,0.5087927430868149,True,0.983047482519124
150,770149.73,6270790.610769231,39.0,18,-5749613.925527455,-2281019,0.4389334972947836,0.4389334972947836,True,0.983047482519124
151,770153.4238461538,6270797.127692308,65.0,29,-5749621.412194215,-2281022,0.5141704492270947,0.5141704492270947,True,0.983047482519124
152,770154.8585714287,6270799.437142857,42.0,20,-5749624.130963291,-2281023,0.31603594310581684,0.31603594310581684,True,0.983047482519124
153,770163.0014285715,6270805.892857144,210.0,82,-5749633.8893361315,-2281027,0.6402013851329684,0.6402013851329684,True,0.983047482519124
