x,y,count,cluster,z_min,z_max,z_mean,z_std,canopy_height,point_density,intensity_mean,intensity_std
770162.2300000001,6270686.279999999,5,,5.46,6.05,5.714,0.2398541223327212,0.5899999999999999,94.16195856873826,nan,nan
770162.53,6270686.279999999,5,,5.55,5.85,5.714,0.11674759098156985,0.2999999999999998,185.1851851851853,nan,nan
770165.8300000001,6270686.279999999,1,,5.55,5.55,5.55,0.0,0.0,11.11111111111111,nan,nan
770166.1300000001,6270686.279999999,1,,5.84,5.84,5.84,0.0,0.0,11.11111111111111,nan,nan
770166.43,6270686.279999999,5,,5.64,5.83,5.714,0.07402702209328707,0.1900000000000004,292.39766081871284,nan,nan
770166.7300000001,6270686.279999999,6,,5.65,5.85,5.793333333333333,0.07393691004272936,0.1999999999999993,333.3333333333345,nan,nan
770167.03,6270686.279999999,2,,5.61,5.65,5.630000000000001,0.028284271247461613,0.040000000000000036,555.5555555555551,nan,nan
770167.3300000001,6270686.279999999,2,,5.64,5.81,5.725,0.12020815280171303,0.16999999999999993,130.7189542483661,nan,nan
770170.6300000001,6270686.279999999,1,,5.9,5.9,5.9,0.0,0.0,11.11111111111111,nan,nan
770170.93,6270686.279999999,3,,5.82,5.86,5.836666666666667,0.020816659994661132,0.040000000000000036,833.3333333333327,nan,nan
770171.2300000001,6270686.279999999,4,,5.73,5.94,5.8725000000000005,0.09742518497116945,0.20999999999999996,211.64021164021167,nan,nan
770171.53,6270686.279999999,6,,5.76,5.96,5.8999999999999995,0.07183313998427211,0.20000000000000018,333.33333333333303,nan,nan
770171.8300000001,6270686.279999999,2,,5.85,6.06,5.955,0.14849242404917526,0.20999999999999996,105.82010582010584,nan,nan
770172.1300000001,6270686.279999999,1,,6.1,6.1,6.1,0.0,0.0,11.11111111111111,nan,nan
770160.43,6270686.58,2,,5.64,5.66,5.65,0.01414213562373159,0.020000000000000462,1111.1111111110854,nan,nan
770160.7300000001,6270686.58,4,,5.58,5.62,5.6025,0.017078251276598923,0.040000000000000036,1111.1111111111102,nan,nan
770161.03,6270686.58,5,,5.61,5.71,5.652,0.036331804249169465,0.09999999999999964,555.5555555555575,nan,nan
770161.3300000001,6270686.58,5,,5.71,5.94,5.794,0.08905054744357288,0.23000000000000043,241.54589371980632,nan,nan
770161.6300000001,6270686.58,5,,5.65,5.85,5.762,0.07981227975693948,0.1999999999999993,277.77777777777874,nan,nan
770165.53,6270686.58,1,,5.68,5.68,5.68,0.0,0.0,11.11111111111111,nan,nan
770165.8300000001,6270686.58,1,,5.74,5.74,5.74,0.0,0.0,11.11111111111111,nan,nan
770166.1300000001,6270686.58,6,,5.66,5.76,5.715,0.03937003937005915,0.09999999999999964,666.666666666669,nan,nan
770166.43,6270686.58,6,,5.52,5.8,5.6816666666666675,0.09368386556214839,0.28000000000000025,238.0952380952379,nan,nan
770166.7300000001,6270686.58,3,,5.39,5.78,5.566666666666666,0.19756855350316627,0.39000000000000057,85.47008547008535,nan,nan
770167.03,6270686.58,2,,5.61,5.66,5.635,0.03535533905932694,0.04999999999999982,444.444444444446,nan,nan
770170.3300000001,6270686.58,5,,5.8,6.06,5.912,0.10639548862616294,0.2599999999999998,213.67521367521385,nan,nan
770170.6300000001,6270686.58,2,,5.89,5.9,5.895,0.007071067811866266,0.010000000000000675,2222.2222222220726,nan,nan
770170.93,6270686.58,4,,5.76,5.82,5.7975,0.02872281323269038,0.0600000000000005,740.7407407407346,nan,nan
770171.2300000001,6270686.58,2,,5.88,5.9,5.890000000000001,0.01414213562373159,0.020000000000000462,1111.1111111110854,nan,nan
770171.53,6270686.58,1,,5.96,5.96,5.96,0.0,0.0,11.11111111111111,nan,nan
770159.53,6270686.879999999,1,,5.23,5.23,5.23,0.0,0.0,11.11111111111111,nan,nan
770160.1300000001,6270686.879999999,3,,5.61,5.67,5.646666666666667,0.03214550253664288,0.05999999999999961,555.5555555555592,nan,nan
770160.43,6270686.879999999,3,,5.59,5.64,5.613333333333333,0.025166114784235707,0.04999999999999982,666.666666666669,nan,nan
770160.7300000001,6270686.879999999,3,,5.61,5.63,5.623333333333334,0.011547005383792334,0.019999999999999574,1666.6666666667022,nan,nan
770161.03,6270686.879999999,5,,5.6,5.84,5.702,0.10686440005914041,0.2400000000000002,231.4814814814813,nan,nan
770161.3300000001,6270686.879999999,2,,5.59,5.94,5.765000000000001,0.2474873734152923,0.35000000000000053,63.492063492063394,nan,nan
770161.6300000001,6270686.879999999,1,,5.79,5.79,5.79,0.0,0.0,11.11111111111111,nan,nan
770164.93,6270686.879999999,1,,5.81,5.81,5.81,0.0,0.0,11.11111111111111,nan,nan
770165.2300000001,6270686.879999999,4,,5.59,5.71,5.67,0.054160256030906496,0.1200000000000001,370.37037037037004,nan,nan
770165.53,6270686.879999999,3,,5.64,5.74,5.6933333333333325,0.05033222956847194,0.10000000000000053,333.33333333333155,nan,nan
770165.8300000001,6270686.879999999,6,,5.58,5.81,5.72,0.0809938269252662,0.22999999999999954,289.8550724637687,nan,nan
770166.1300000001,6270686.879999999,2,,5.77,5.77,5.77,0.0,0.0,22.22222222222222,nan,nan
770166.7300000001,6270686.879999999,1,,5.84,5.84,5.84,0.0,0.0,11.11111111111111,nan,nan
770169.7300000001,6270686.879999999,1,,5.64,5.64,5.64,0.0,0.0,11.11111111111111,nan,nan
770170.03,6270686.879999999,3,,5.95,5.98,5.97,0.0173205080756893,0.03000000000000025,1111.111111111102,nan,nan
770170.3300000001,6270686.879999999,5,,5.9,6.04,5.978,0.06340346993658934,0.13999999999999968,396.8253968253978,nan,nan
