row_id,seq,x,y,status,nearest_dist_m
-2281025,29,770182.1702521697,6270788.022263784,present,0.04282723837940459
-2281025,30,770183.0339706485,6270787.491980812,present,0.03845381782607652
-2281025,31,770183.8976891274,6270786.961697838,present,0.059404710765132936
-2281025,32,770184.7614076062,6270786.431414865,present,0.10858059757209784
-2281025,33,770185.6251260849,6270785.901131893,present,0.06878021373079357
-2281025,34,770186.4888445637,6270785.370848919,present,0.07050818371263286
-2281025,35,770187.3525630425,6270784.840565946,present,0.10373679870914944
-2281025,36,770188.2162815213,6270784.310282974,present,0.059824816305917065
-2281025,37,770189.0800000001,6270783.78,present,0.12649110630365665
-2281025,38,770189.9437184789,6270783.249717027,present,0.147604351359651
-2281025,39,770190.8074369576,6270782.719434055,present,0.04641860392990528
-2281025,40,770191.6711554364,6270782.189151081,present,0.10807129376144664
-2281025,41,770192.5348739153,6270781.658868108,present,0.06905862044389922
-2281025,42,770193.398592394,6270781.128585136,present,0.04247844994359961
-2281025,43,770194.2623108728,6270780.598302162,present,0.049246555457945415
-2281025,44,770195.1260293516,6270780.068019189,present,0.09399152284788917
-2281025,45,770195.9897478304,6270779.537736217,present,0.03782761622198793
-2281025,46,770196.8534663091,6270779.007453243,present,0.03818006405346079
-2281025,47,770197.717184788,6270778.47717027,present,0.05444839547382278
-2281025,48,770198.5809032668,6270777.946887297,present,0.16190444449635602
-2281025,49,770199.4446217455,6270777.416604324,present,0.09175785014541323
-2281025,50,770200.3083402243,6270776.886321351,present,0.07618817270112463
-2281025,51,770201.1720587031,6270776.356038378,present,0.08217568290348179
-2281025,52,770202.0357771819,6270775.825755405,present,0.03470339989809075
-2281025,53,770202.8994956607,6270775.295472432,present,0.09452891314519993
-2281025,54,770203.7632141395,6270774.765189459,present,0.11939221155199836
-2281025,55,770204.6269326183,6270774.234906486,present,0.12203155327368664
-2281025,56,770205.490651097,6270773.704623513,present,0.08018744792210387
-2281025,57,770206.3543695759,6270773.17434054,present,0.028275913805610228
-2281025,58,770207.2180880547,6270772.644057567,present,0.2151534956913931
-2281025,59,770208.0818065334,6270772.113774594,present,0.08247417857985585
-2281025,60,770208.9455250122,6270771.583491621,present,0.039672254493570654
-2281025,61,770209.809243491,6270771.053208648,present,0.06679563602863782
-2281025,62,770210.6729619697,6270770.522925675,present,0.02398166885217355
-2281025,63,770211.5366804486,6270769.992642702,present,0.23745129123043726
-2281025,64,770212.4003989274,6270769.462359728,present,0.07068997229594923
-2281025,65,770213.2641174061,6270768.932076756,present,0.07083446202784793
-2281025,66,770214.1278358849,6270768.401793783,present,0.10966633132958795
-2281025,67,770214.9915543637,6270767.871510809,present,0.15035225376918643
-2281025,68,770215.8552728426,6270767.341227837,present,0.06654587988362784
-2281025,69,770216.7189913213,6270766.810944864,present,0.10960936897375903
-2281025,70,770217.5827098001,6270766.28066189,present,0.11936887172337002
-2281025,71,770218.4464282789,6270765.750378918,present,0.17908544086955702
-2281025,72,770219.3101467576,6270765.220095945,present,0.17188314295234558
-2281025,73,770220.1738652365,6270764.689812971,present,0.0392352911712258
-2281025,74,770221.0375837153,6270764.159529999,present,0.12227464146247807
-2281024,0,770155.0742459779,6270801.752894355,present,0.08438841266320023
-2281024,1,770155.9380317966,6270801.223728268,present,0.09631155559005618
-2281024,2,770156.8018176154,6270800.694562181,present,0.10369746659029404
-2281024,3,770157.6656034342,6270800.165396093,present,0.0797548797536014
-2281024,4,770158.5293892529,6270799.636230007,present,0.09172733957446877
-2281024,5,770159.3931750717,6270799.107063919,present,0.08711180823785616
-2281024,6,770160.2569608904,6270798.577897833,present,0.06217648531002732
-2281024,7,770161.1207467092,6270798.048731745,present,0.05926686215371422
-2281024,8,770161.984532528,6270797.519565658,present,0.11219941434513916
-2281024,9,770162.8483183467,6270796.990399571,present,0.040464662096536916
-2281024,10,770163.7121041655,6270796.461233484,present,0.022138554947079846
-2281024,11,770164.5758899843,6270795.932067396,present,0.14280316429086679
-2281024,12,770165.439675803,6270795.40290131,present,0.049760456106655304
-2281024,13,770166.3034616217,6270794.873735222,present,0.10692393592989324
-2281024,14,770167.1672474404,6270794.344569135,present,0.04309612084594825
-2281024,15,770168.0310332592,6270793.815403048,present,0.1211015321907204
-2281024,16,770168.894819078,6270793.28623696,present,0.1344591877120203
-2281024,17,770169.7586048967,6270792.757070874,present,0.12432904812396811
-2281024,18,770170.6223907155,6270792.227904786,present,0.12109422429344023
-2281024,19,770171.4861765343,6270791.6987387,present,0.07318881478014143
-2281024,20,770172.349962353,6270791.169572612,present,0.10655512596506514
-2281024,21,770173.2137481718,6270790.640406525,present,0.07807699907251636
-2281024,22,770174.0775339906,6270790.111240438,present,0.10542715783739548
-2281024,23,770174.9413198093,6270789.582074351,present,0.1437725640284019
-2281024,24,770175.8051056281,6270789.052908263,present,0.0630983710068934
-2281024,25,770176.6688914468,6270788.523742177,present,0.0632428525547469
-2281024,26,770177.5326772656,6270787.994576089,present,0.026457468953391596
-2281024,27,770178.3964630844,6270787.4654100025,present,0.06564772883545093
